zone_id,arrondissement_name,porto_lat_min,porto_lat_max,porto_lon_min,porto_lon_max,casa_lat_min,casa_lat_max,casa_lon_min,casa_lon_max,casa_centroid_lat,casa_centroid_lon,adjacent_zones
1,Ain Chock,41.135,41.148,-8.650,-8.606,33.4933,33.5595,-7.6729,-7.5661,33.5266,-7.6216,"2,4,5,6,8,9"
2,Sidi Othmane,41.135,41.148,-8.606,-8.593,33.5350,33.5750,-7.5850,-7.5400,33.5550,-7.5625,"3,5,6,7,9,10,11,12"
3,Sidi Moumen,41.135,41.148,-8.593,-8.585,33.5550,33.6150,-7.5400,-7.4750,33.5850,-7.5075,"2,7,15,16"
4,Hay Hassani,41.148,41.158,-8.650,-8.621,33.5065,33.5823,-7.7316,-7.6427,33.5465,-7.6803,"1,8,13"
5,Sbata,41.148,41.158,-8.621,-8.608,33.5203,33.5510,-7.5813,-7.5332,33.5358,-7.5580,"1,2,6"
6,Ben Msik,41.148,41.158,-8.608,-8.597,33.5203,33.5659,-7.5943,-7.5332,33.5414,-7.5650,"1,2,5,9"
7,Moulay Rachid,41.148,41.158,-8.597,-8.585,33.5450,33.5920,-7.5650,-7.5150,33.5685,-7.5400,"2,3,12,15"
8,Maarif,41.158,41.169,-8.650,-8.629,33.5490,33.5910,-7.6615,-7.6107,33.5704,-7.6325,"1,4,9,10,13,14"
9,Al Fida,41.158,41.169,-8.629,-8.616,33.5560,33.5730,-7.6123,-7.5744,33.5652,-7.5949,"1,6,8,10,11"
10,Mers Sultan,41.158,41.169,-8.616,-8.607,33.5650,33.5900,-7.6180,-7.5850,33.5775,-7.6015,"2,8,9,11,14"
11,Roches Noires,41.158,41.169,-8.607,-8.597,33.5750,33.6100,-7.6130,-7.5750,33.5925,-7.5940,"2,9,10,12,14,15"
12,Hay Mohammadi,41.158,41.169,-8.597,-8.585,33.5620,33.6020,-7.5800,-7.5350,33.5820,-7.5575,"2,7,11,15"
13,Anfa,41.169,41.174,-8.650,-8.637,33.5720,33.6180,-7.6750,-7.6300,33.5950,-7.6525,"4,8,14"
14,Sidi Belyout,41.169,41.174,-8.637,-8.618,33.5827,33.6205,-7.6399,-7.5798,33.5985,-7.6149,"8,10,11,13,15"
15,Ain Sebaa,41.169,41.174,-8.618,-8.601,33.5855,33.6253,-7.5807,-7.5078,33.6041,-7.5448,"3,7,11,12,14,16"
16,Sidi Bernoussi,41.169,41.174,-8.601,-8.585,33.5950,33.6450,-7.5300,-7.4750,33.6200,-7.5025,"3,15"